docno	name	IDX_SMI
0	compounds of types 18 and 21	0
1	20	1
2	18	0
3	23	2
4	21	3
5	organoborane 6	4
6	boronic ester 31	5
7	amide carbonyl, boronic ester 31	5
8	35	6
9	37b	7
10	Enantioenriched geminal diboron compound 35	6
11	38	5
12	amide 37	7
13	cyclic boronamide 44	8
14	47 vicinal diborated compounds	9
15	62	10
16	10 B-labeled enantiomerically enriched diboronate 67	5
17	alkyl radical 75	11
18	photoexcited Ir catalyst 74, alkyltrifluorobates 71	12
19	Ni(I)-alkyl species 78	13
20	radical 75, nickel(0) complex 77	11
21	nickel(II) complex 80	14
22	82	15
23	76, 77, 73	16
24	diastereomeric nickel(III) complexes 79	9
25	nickel-Csp 3 bond	5
26	secondary alkyl βtrifluoroboratoketones (89), aryl bromides	17
27	aryl boronic acids 58a	18
28	60	19
29	diborylated alkene 94	20
30	sp 3	5
31	sp 2	15
32	98	21
33	97, organoborane	9
34	99	22
35	98	21
36	allylic phosphate 100, bis(pinacolatoboryl)methane	23
37	diboron product 102	24
38	homoallyl boronic ester 101, 9-BBN	25
39	vicinal 1,2diboronates 113	25
40	aryl Csp 2 -B bond	15
41	aryl Csp 2 -B bond	15
42	trisborylated compound 124	24
43	aryl B-Csp 2 bond, primary B-Csp 3 bond, secondary benzylic B-Csp 3 bond	5
44	sp 3 -hybridized trifluoroborate salts (127)	5
45	sp 2 -hybridized boron reagents (126)	15
46	borylated diarylmethane 128	26
47	benzyl trifluoroborate salt 127, brominated aryl boronic ester 126	27
48	129	28
49	128	26
50	4-aminophenol	29
51	4-aminophenol	29
52	sp 3 boron reagent, sp 3 electrophile	5
53	compound 2b	30
54	compound 2a	30
55	crude compound 4b	31
56	crude compound 4a, n-propyl amine	31
57	compound 5b	32
58	compound 5a, Et3N, N-Bromosuccinimide	32
59	compound 8a	33
60	compound 6a, compound 7a	34
61	compound 8a, Et3N, N-Bromosuccinimide	33
62	compound 13	33
63	compound 12, Bis(pinacolato)diboron	30
64	compound 3b	33
65	compound 3a	33
66	compound 3b	33
67	electron-rich C sp 3ÀO Bonds, transition metal 18	35
68	crosscoupled heterocycle 3	36
69	2-ethoxy-2H-chromene 1a, p-fluorophenyl boronic acid	37
70	4-CF 3	36
71	dibenzothiophene 20	38
72	dibenzofuran 19	39
73	indole 25	40
74	dibenzothiophene 20	38
75	bromoethane	41
76	thiophene	42
77	thiophene	42
78	[Pd(IPr)(3-CF 3 -An)Cl 2 ]	43
79	furan-2-ylboronic acid	44
80	CH 2 Cl 2, hexanes	45
81	[M-H+HCO 2 H] -=329, [M] - =331, [M] -=567	45
82	[M-F] -= 256	46
83	2-(phenylcarbonyl)chromene	47
