docno	r_avail	text	Docno	Page	x1	y1	x2	y2
0	0	Particular focus is placed on the use of enantiomerically enriched organoboron compounds as coupling partners in stereospecific processes, as well as the development of enantioconvergent and group-selective reactions.	Paper3_Perspective_2017	1	290	1232	1219	1445
1	1	At the time, the only precedent for enantiospecific Suzuki-Miyaura cross-coupling was found in cyclopropylated substrates.	Paper3_Perspective_2017	1	1354	1153	2352	1283
2	2	The cross-coupling of larger alicyclic compounds was described subsequently and independently by Fu, 14 Molander, 15 and van den Hoogenband 16 (Chart 1).	Paper3_Perspective_2017	1	1352	1611	2350	1742
3	3	The oxidative sensitivity of more electron rich alkylated phosphines to stoichiometric Ag 2 O limited the number of phosphine ligands that could be screened.	Paper3_Perspective_2017	2	252	557	1256	743
4	4	23 Allylic boronic esters were also shown to undergo crosscoupling.	Paper3_Perspective_2017	2	1354	562	2350	647
5	5	However, allylic boronic esters have the added complication of providing a mixture of S E and S E ′ products.	Paper3_Perspective_2017	2	1352	797	2356	922
6	6	However, when the allyl unit is part of a styrenyl system, a higher proportion of direct coupling without allylic transposition is observed.	Paper3_Perspective_2017	2	1352	1945	2352	2169
7	7	Morken employed unsymmetrical terminally disubstituted allylic boranes in this reaction, leading to quaternary centers with control of stereochemistry.	Paper3_Perspective_2017	3	252	473	1252	604
8	8	In a related 2013 report, the Buchwald group described the cross-coupling of terminally substituted allylboronates with aryl halides.	Paper3_Perspective_2017	3	252	1704	1252	1829
9	9	The Hall group has described the cross-coupling of allylic boronic esters contained within heterocyclic frameworks, specifically compounds of types 18 and 21, prepared using enantioselective borylation of achiral cyclic enol ethers and enamines.	Paper3_Perspective_2017	3	252	1938	1252	2150
10	10	29 Substrates 18 and 21 were shown to undergo stereoretentive cross-couplings with high γ-selectivities when XPhos was employed as the ligand, yielding products 20 and 23.	Paper3_Perspective_2017	3	252	2113	1252	2289
11	11	Propargylic boronic esters also undergo stereospecific crosscoupling reactions, as demonstrated by the Aggarwal group.	Paper3_Perspective_2017	3	1354	474	2350	559
12	12	This problem was solved through the use of smaller substituents on boron.	Paper3_Perspective_2017	3	1353	2362	2352	2447
