docno	IDX_Par	IDX_SMI
0	9	0
1	10	1
2	10	0
3	10	2
4	10	3
5	14	4
6	16	5
7	18	5
8	20	6
9	20	7
10	21	6
11	22	5
12	22	7
13	24	8
14	26	9
15	32	10
16	34	5
17	36	11
18	36	12
19	38	13
20	38	11
21	39	14
22	40	15
23	40	16
24	41	9
25	41	5
26	42	17
27	45	18
28	47	19
29	47	20
30	48	5
31	48	15
32	50	21
33	50	9
34	50	22
35	50	21
36	51	23
37	52	24
38	52	25
39	56	25
40	61	15
41	61	15
42	63	24
43	63	5
44	66	5
45	66	15
46	67	26
47	67	27
48	68	28
49	68	26
50	69	29
51	69	29
52	72	5
53	73	30
54	73	30
55	74	31
56	74	31
57	75	32
58	75	32
59	76	33
60	76	34
61	77	33
62	78	33
63	78	30
64	79	33
65	79	33
66	80	33
67	85	35
68	87	36
69	87	37
70	88	36
71	89	38
72	89	39
73	89	40
74	89	38
75	98	41
76	103	42
77	107	42
78	112	43
79	135	44
80	159	45
81	160	45
82	160	46
83	162	47
84	162	47
85	163	48
86	163	48
87	164	49
88	164	48
89	165	49
90	168	49
91	168	50
92	173	51
93	176	52
94	178	53
95	179	54
96	180	55
97	180	56
98	181	57
99	181	58
100	182	53
101	182	53
102	183	53
103	183	54
104	184	54
105	184	54
106	184	53
107	184	54
108	185	53
109	185	54
110	187	59
111	188	58
112	188	56
113	189	53
114	190	53
115	190	57
116	191	56
117	193	53
118	194	53
119	194	60
120	195	53
121	196	61
122	196	59
123	197	53
124	197	57
125	200	62
126	205	63
127	205	64
128	206	65
129	207	66
130	207	64
131	207	65
132	207	64
133	208	67
134	208	64
135	209	65
136	209	66
137	210	65
138	210	65
139	212	68
140	213	66
141	214	69
142	215	69
143	215	64
144	216	65
145	216	70
146	217	69
147	217	62
148	218	71
149	218	71
150	218	72
151	218	73
152	218	72
153	218	74
154	219	75
155	220	76
156	220	77
157	221	73
158	221	78
159	221	79
160	222	80
161	223	81
162	223	81
163	223	80
164	223	81
165	224	73
166	224	73
167	224	73
168	224	82
169	225	73
170	225	73
171	226	83
172	226	73
173	226	84
174	227	74
175	227	72
176	228	73
177	228	85
178	229	86
179	229	85
180	229	73
181	229	87
182	229	88
183	229	88
184	229	89
185	229	88
186	229	90
187	229	89
188	229	88
189	230	88
190	230	88
191	230	88
192	230	89
193	230	88
194	231	73
195	231	88
196	231	91
197	231	88
198	231	73
199	231	92
200	232	73
201	233	73
202	233	73
203	233	73
204	233	93
205	233	73
206	233	92
207	234	73
208	234	83
209	234	73
210	234	92
211	235	73
212	235	73
213	235	73
214	235	94
215	235	73
216	235	95
217	235	84
218	235	73
219	235	92
220	235	96
221	235	97
222	235	73
223	235	92
224	235	78
225	236	73
226	236	95
227	237	73
228	237	75
229	238	73
230	238	81
231	239	98
232	240	81
233	241	72
234	241	99
235	241	78
236	242	81
237	242	73
238	242	73
239	243	73
240	243	88
241	243	73
242	244	72
243	244	100
244	244	88
245	245	71
246	245	73
247	246	101
248	246	102
249	246	103
250	246	103
251	246	104
252	246	105
253	247	102
254	247	104
255	247	104
256	248	106
257	248	104
258	248	104
259	248	107
260	248	108
261	248	104
262	248	104
263	249	109
264	249	106
265	249	104
266	249	110
267	249	104
268	249	104
269	250	110
270	250	110
271	250	110
272	250	104
273	250	104
274	250	111
275	250	102
276	251	104
277	251	104
278	251	112
279	251	104
280	251	104
281	252	102
282	252	104
283	253	113
284	253	110
285	253	110
286	253	104
287	253	104
288	253	104
289	253	114
290	253	112
291	253	104
292	254	104
293	254	115
294	254	110
295	254	110
296	254	104
297	254	104
298	254	104
299	255	116
300	255	116
301	255	116
302	255	117
303	255	104
304	255	104
305	255	117
306	256	118
307	257	119
308	258	120
309	259	88
310	259	88
311	259	121
312	260	122
313	260	123
314	260	124
315	261	88
316	261	125
317	261	92
318	261	126
319	261	92
320	261	127
321	261	88
322	261	127
323	261	128
324	261	129
325	261	92
326	262	92
327	262	130
328	262	128
329	263	127
330	263	131
331	263	132
332	263	133
333	263	93
334	263	125
335	263	134
336	263	135
337	263	136
338	264	137
339	265	127
340	265	138
341	265	127
342	265	127
343	266	139
344	266	140
345	266	141
346	266	110
347	266	93
348	267	116
349	267	116
350	268	142
351	268	143
352	268	108
353	268	144
354	268	145
355	268	146
356	269	147
357	269	147
358	269	148
359	269	145
360	269	147
361	269	142
362	270	149
363	270	110
364	270	108
365	270	104
366	270	150
367	271	108
368	271	108
369	272	142
370	273	142
371	274	72
372	274	93
373	275	116
374	276	151
375	276	152
376	276	151
377	276	99
378	276	151
379	276	153
380	276	151
381	276	154
382	276	151
383	276	155
384	276	151
385	276	152
386	276	151
387	276	99
388	277	156
389	277	143
390	277	116
391	278	151
392	278	155
393	278	126
394	278	99
395	278	157
396	278	151
397	278	158
398	279	151
399	280	159
400	280	160
401	280	160
402	281	151
403	281	161
404	281	161
405	281	151
406	281	151
407	282	151
408	282	151
409	282	151
410	282	151
411	283	152
412	283	151
413	283	151
414	283	153
415	283	151
416	283	151
417	284	162
418	284	163
419	284	148
420	285	148
421	286	139
422	286	110
423	286	110
424	286	110
425	286	110
426	286	110
427	286	110
428	286	110
429	286	110
430	286	110
431	286	110
432	286	110
433	286	110
434	287	164
435	287	156
436	287	110
437	288	110
438	288	110
439	288	165
440	288	110
