docno	IDX_Par	IDX_SMI	page	x1	y1	x2	y2
0	9	0	10	996	486	1239	668
1	10	1	3	245	2672	383	2826
2	10	0	10	996	486	1239	668
3	10	2	11	322	2334	687	2499
4	10	3	11	1223	1383	1494	1575
5	14	4	2	327	1445	490	1551
6	16	5	2	1905	1186	2121	1312
7	18	5	2	1905	1186	2121	1312
8	20	6	5	248	1369	518	1494
9	20	7	5	293	1566	584	1729
10	21	6	5	248	1369	518	1494
11	22	5	2	1905	1186	2121	1312
12	22	7	5	293	1566	584	1729
13	24	8	2	1995	2735	2352	2881
14	26	9	2	1014	1451	1175	1559
15	32	10	6	1516	2401	1658	2499
16	34	5	2	1905	1186	2121	1312
17	36	11	7	1423	1397	1544	1493
18	36	12	7	1441	459	1566	556
19	38	13	7	1786	891	2351	1507
20	38	11	7	1423	1397	1544	1493
21	39	14	8	1773	1023	2330	1257
22	40	15	2	2140	1194	2351	1297
23	40	16	11	287	778	955	1134
24	41	9	2	1014	1451	1175	1559
25	41	5	2	1905	1186	2121	1312
26	42	17	2	249	2487	514	2600
27	45	18	6	1443	1084	1677	1191
28	47	19	4	245	637	1252	1176
29	47	20	8	1369	1067	1743	1279
30	48	5	2	1905	1186	2121	1312
31	48	15	2	2140	1194	2351	1297
32	50	21	9	745	730	846	942
33	50	9	2	1014	1451	1175	1559
34	50	22	9	1108	728	1252	944
35	50	21	9	745	730	846	942
36	51	23	9	1373	967	1648	1118
37	52	24	9	1350	1193	1574	1394
38	52	25	9	1930	1178	2352	1440
39	56	25	9	1930	1178	2352	1440
40	61	15	2	2140	1194	2351	1297
41	61	15	2	2140	1194	2351	1297
42	63	24	9	1350	1193	1574	1394
43	63	5	2	1905	1186	2121	1312
44	66	5	2	1905	1186	2121	1312
45	66	15	2	2140	1194	2351	1297
46	67	26	3	2027	1761	2330	1922
47	67	27	12	243	1560	518	1732
48	68	28	3	1165	2635	1252	2833
49	68	26	3	2027	1761	2330	1922
50	69	29	10	548	789	674	1027
51	69	29	10	548	789	674	1027
52	72	5	2	1905	1186	2121	1312
53	73	30	4	862	530	1089	671
54	73	30	4	862	530	1089	671
55	74	31	4	1364	527	1647	669
56	74	31	4	1364	527	1647	669
57	75	32	4	1903	393	2192	667
58	75	32	4	1903	393	2192	667
59	76	33	4	1125	403	1281	488
60	76	34	4	1405	2832	1808	3049
61	77	33	4	1125	403	1281	488
62	78	33	4	1125	403	1281	488
63	78	30	4	862	530	1089	671
64	79	33	4	1125	403	1281	488
65	79	33	4	1125	403	1281	488
66	80	33	4	1125	403	1281	488
67	85	35	4	1785	887	2288	1123
68	87	36	1	1460	1029	1761	1296
69	87	37	2	1678	1503	1895	1598
70	88	36	1	1460	1029	1761	1296
71	89	38	1	220	765	2312	1245
72	89	39	3	2032	544	2268	673
73	89	40	4	885	550	1161	697
74	89	38	1	220	765	2312	1245
75	98	41	12	1250	898	1389	953
76	103	42	2	1166	317	1369	424
77	107	42	2	1166	317	1369	424
78	112	43	2	1992	320	2182	447
79	135	44	22	796	399	1157	570
80	159	45	85	136	346	707	619
81	160	45	85	136	346	707	619
82	160	46	81	146	131	708	462
83	162	47	27	308	2439	736	2707
84	162	47	27	308	2439	736	2707
85	163	48	12	1037	316	1360	384
86	163	48	12	1037	316	1360	384
87	164	49	3	1140	1765	1412	1894
88	164	48	12	1037	316	1360	384
89	165	49	3	1140	1765	1412	1894
90	168	49	3	1140	1765	1412	1894
91	168	50	22	1502	393	2006	595
92	173	51	2	1111	961	1310	1140
93	176	52	2	1873	2490	2115	2680
94	178	53	2	1904	301	2274	442
95	179	54	1	276	1514	898	1820
96	180	55	2	275	1542	587	1631
97	180	56	1	955	1582	1175	1687
98	181	57	1	1342	1317	1530	1421
99	181	58	2	296	1734	671	1848
100	182	53	2	1904	301	2274	442
101	182	53	2	1904	301	2274	442
102	183	53	2	1904	301	2274	442
103	183	54	1	276	1514	898	1820
104	184	54	1	276	1514	898	1820
105	184	54	1	276	1514	898	1820
106	184	53	2	1904	301	2274	442
107	184	54	1	276	1514	898	1820
108	185	53	2	1904	301	2274	442
109	185	54	1	276	1514	898	1820
110	187	59	2	835	1703	1029	1783
111	188	58	2	296	1734	671	1848
112	188	56	1	955	1582	1175	1687
113	189	53	2	1904	301	2274	442
114	190	53	2	1904	301	2274	442
115	190	57	1	1342	1317	1530	1421
116	191	56	1	955	1582	1175	1687
117	193	53	2	1904	301	2274	442
118	194	53	2	1904	301	2274	442
119	194	60	2	1386	1652	1578	1744
120	195	53	2	1904	301	2274	442
121	196	61	3	852	311	1150	416
122	196	59	2	835	1703	1029	1783
123	197	53	2	1904	301	2274	442
124	197	57	1	1342	1317	1530	1421
125	200	62	3	299	2459	447	2556
126	205	63	2	333	2705	484	2818
127	205	64	3	694	2820	950	2940
128	206	65	2	1823	1677	2150	1841
129	207	66	2	303	2059	566	2124
130	207	64	3	694	2820	950	2940
131	207	65	2	1823	1677	2150	1841
132	207	64	3	694	2820	950	2940
133	208	67	2	1021	1367	1318	1541
134	208	64	3	694	2820	950	2940
135	209	65	2	1823	1677	2150	1841
136	209	66	2	303	2059	566	2124
137	210	65	2	1823	1677	2150	1841
138	210	65	2	1823	1677	2150	1841
139	212	68	2	971	2746	1098	2794
140	213	66	2	303	2059	566	2124
141	214	69	4	1027	2530	1674	2929
142	215	69	4	1027	2530	1674	2929
143	215	64	3	694	2820	950	2940
144	216	65	2	1823	1677	2150	1841
145	216	70	2	718	2335	928	2475
146	217	69	4	1027	2530	1674	2929
147	217	62	3	299	2459	447	2556
