docno	SMILES
0	C[Ar].C**.C\C=C(/C=C\C=C)\C1=CN(C)N(C)C1
1	C*.*[C@@H]1OCCC=C1
2	CC.C*.CC\C(*)=C/C=C\CC(*)C*
3	CC=CC.*CCC1=CC=C(*)C=C1
4	BC.CC.C*C.C[C@@H](O)*
5	CC.CC.C*(C)C.*C\C=C\*
6	C*.CC=C.C*C(C\C(C)=C/C)*C
7	CC.C*C.**=C.CCC(=O)N1CCCC1
8	C[H].CC.C*=C.[H]\C(C)=C(\[H])O
9	C*.CCC[C@@H](*)*C
10	*C(*)*
11	CC.CC.CC.CC.C=C.CCCC.C*C*C
12	C*C(C*)*C
13	CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.C*.C*.C*.C*.C*.C=C.CCC.CCC.CCC.CCC.CCC.CCC.CCC.C*C.CCCC.CCCC.CC[Ar]C.CC*C.CNNC.C\N=*\C.C*(C)C.CCCCC.CCC(C)C.CCCCCCC.CCCCC(CC)CCC.CC(C)C*C(*)[N](C)(C)#C
14	CO.C[H]*.C*C.C*(C)(C)*.C*\C=C(\[Rh])C1=CC=C(C)C=C1
15	*CCC(*)C=C(*)*
16	CC.CC.CC.CC.C*.C=C.*C*.CCC=C.CC=C*.C1=CC=NC=C1.CC1=CC=CC=C1.C\C=C/C=C\C(C)C.CCC\C=C/C(/O)=C\CC.C(CC1=CC=CC=C1)C1=CC=CC=C1
17	CC.BCCC1=CC=CC=C1
18	C[C@@H](*)C*
19	*
20	CC.C*.CC*.[Bh]C*.CC1=CC=C(Br)C=C1
21	C*.C*C1=CC=C(C)C=C1
22	**.**.CCC1=CC=C(C)C=C1
23	CC.CC.CC.C*C.*C\C=C\C*
24	CC.C*C.CCC*.CC*C.CCBC#C
25	CC.CC.CC.C*.C*.C=C.*=*.C*(C)C.C*(C)C.CCCCC\C=C(/C)CC\C=C(/C)CCC=C(C)C
26	CC.**.CBC(\C(=C\C)\C=C/C(C)CC)C1=CC=CC=C1
27	C*.C*C1=CC(*)=C(Br)C=C1
28	C*C.CCC[C@H](*)\C=C/C
29	CC.C*.BC1=CC=C(*)C=C1
30	*C(=O)\C=C\C1=CC=CC=C1
31	C=CN(C=O)C(=O)\C=C\C1=CC=CC=C1
32	C[H].CC=C.CC(=O)\C=C\C1=CC=CC=C1
33	CC.C=C*C=*
34	CC.CB\C=C/NC(=O)\C=C\C1=CC=CC=C1
35	CC.C*.CC\C(=C/C=C(\C=C)C(=O)N1C(C)=C(CC(*)=O)C2=C1C=CC(*)=C2)C1OC2=C(C=CC=C2)C=C1
36	[H]C(=*)C1=CC=C(C)O1.C\C(=C/C=C(\C=C)C(F)(F)F)C1OC2=CC=CC=C2C=C1
37	C*C.C*\C(\C=C/C)=C\*=C/C
38	B.C.S
39	CC1=CC=C(C=C1)C(*)=O
40	FC1=CC=C2OC(C=CC2=C1)C1=CC=CC=C1
41	CC.CC.CC.CC.CCC.CCC
42	BrC1=CC=C(Br)S1
43	C*.CC1=CC=C(C=C1)C1=CC=CC=N1
44	C*.CBC1=CC2=C(O1)C=CC=C2
45	CC.CC.CC.CC.CC.CC.CC.C*.CCC.CCC.C[H]CC.CCCC.CCNC
46	CC.CC.CC.CC.CC.CC.CC.CC.C*.C=C.CCCC.CC[F]CC.CC*(C)C
47	CCOC1OC2=CC=CC=C2C=C1C1=CC=CC=C1
48	CC.CC.C=C.C=*.C*C
49	CC.CC.C=C.C[Br]C.C*C
50	CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.C=C.C=C.C=C.C=C.C=C.C=C.CCC.C=C=C.CCC=*=1(=C=C=[O]=C)=C(C)[B](C)(C)(C)(=C)(=[O]=C)=[O](=C)(=O)=C=1
51	C
52	CC.C=C.C=C.C=C.C#C.CCC.CCCCC.BrCCCBr
53	CN.CCCC1(CCCC(C)=C1\C=C\C(\*)=C\C=C\C)*C.CC*(C)(C)(C(C)C)*(C)=C(C)CCC1=CC=C2C=C1[O](C)(C)=[N+]2[O-]
54	C[H].C[H].BC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.C*.C*.C*.C*.C*.C[H]C.CCC.CCC.CCC.C[W]C.CCC*.C*(C)C.CCCC(*)CC.[H]CC(C)C\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(C)C[C@@H](C)C(*[H])CCCCC(CC(*)C(O)CCC(O)CC(O)C\C(C)=C\*CCC)*=C
